Customer,Title,Comment,Rating,Date
"EDGAR","Great projector","Great item, worth every penny. I was skeptical about it after seeing comments on how loud the fan is. In all actually I barely hear it when the volume is low, but it does an amazing job in cooling the projector. Every time the capsule is cool after running over 3 hours. Highly recommended, the picture below is on a stucco exterior wall but the image still looks amazing.",5,
"Jesse","A little projector that packs a punch!","Bought this for my wife for her birthday. She wanted a projector in the bedroom to cast upon the ceiling. I was all over getting this for her! After doing research and looking at a lot of different mini projectors, nothing even came close to the awesomeness that this thing portrayed. When it arrived and we got it all hooked up and running, we weren't disappointed in the slightest. We purchased the tripod stand with it and it does exactly what we wanted it to do.While the ceiling isn't the best projection surface (it's a textured ceiling), it still worked great. We have since moved it to project across our wall and boy does it take up the whole dang thing! Of course, you're not going to get be getting 1080p quality with a device this small and compact, but it's still more than watchable. We quickly installed Plex and Netflix, added the remote control app to our phones, and were watching shows and controlling this bad boy in no time flat. The fact that it houses the apps on the device itself is super convenient. I've been thoroughly impressed with the Nebula Capsule and look forward to trying it in different settings (camping anyone?). It makes me want to check out Anker's other projector offerings to see the differences between them. Well done, Anker, hopefully, you'll keep improving and putting out awesome products. You have a fan.Pros -* The product is extremely well built and doesn't feel cheap at all* Came packaged wonderfully and was a breeze to setup and get going* For the size, I don't feel you will find a better projector with as many features* The picture quality is surprisingly awesome, even when it spans a large space* The remote control app works great and was easy to install and pair with the device* The sound is quite good from something so petite. Haven't had any problems hearing our showsCons -* I really don't have anything negative to say at this point in time. From a device so small, you really can't expect to have the brightest projection or highest pixel density, so no need to gripe about it. We're happy :) If we discover anything that we feel deserves to go in the column, it will be added post-haste!",5,
"Brian","Well thought-out, high-quality","Every time I use this projector, I like it more. The build quality feels really solid, the picture quality is better than I expected, if a little low on contrast, and the sound quality is good. At first I was hesitant to download yet another app to my phone just for controlling it, since the included remote control works well. But I will admit that once I caved and downloaded the remote control app, it's well-designed and very functional. I've also used AirPlay to mirror my screen to the Nebula, to watch video from a different app, and that worked seamlessly. So far the 4-hour playback time has been pretty accurate and reliable, which is great because it is so highly portable. I've been slipping it in my camera bag in place of an extra lens, which makes it so easy to bring along anywhere. And, you can run it off of an external USB battery to extend the runtime if you really want to binge Netflix. All in all, I expect to be using this for years to come!",5,
"SSG Cross","Truly amazing piece of hardware. I'm blown away!","First the not so great: Initially it is kind of a pain to set up, but after that it's great! For some reason it was having trouble connecting to Netflix at first, but once it connected it was good to go and didn't disconnect at all while watching a movie. So perhaps it was just having issue initially. If it's a consistent issue I will post and update and perhaps rethink my rating but right now I'm having no problems with it anymore and it works fantastic. Also if you are getting this device I would advise you to go into settings and update it right away that might also fix any issues you might have with the device. Setting up Netflix and signing in with your account takes a little patience but it's worth it, and once it's done your don't have to do it again. For the price I was kind of hoping it would come with a HDMI cable but that's ok I just went and bought one real quick. So if you don't have a spare lying around I would order one with this. Once you get used to the Console Control App, it is actually a lot of fun to use.Ok, now that the nitpicking is over I can get into the device more thoroughly. The speaker is really great. It's not super loud, but it's loud enough that everything is very clear. The screen also gives a GREAT picture. If there's some light out, the dark scenes in the movie or show you are watching is going to be a little hard to make out, but once the lights go out the picture is magnificent. I really am VERY impressed with the picture. There is also a knob on the side to adjust the focus depending on your distance. The device is surprisingly quiet, and it stays VERY cool. That was also surprising because I expected it to get pretty hot considering it is a projector. All around I am VERY pleased with this product and I'm so glad that this was my first choice in a projector. I've always wanted one, but they were always too bulky, and tend to be loud. This thing is just incredible.I'm amazed every day at the leaps and bounds technology is taking and I'm excited to see what comes out next as the decades go by.",5,
"chris","Awesome little projector","Awesome little projector! Google and Hulu doesn’t work when you get it because it wants you to use google plus but I found a way to fix that! Go into settings then about and click on android version 5 times and a box will pop up asking for a password. Enter gmstest1222 as the password. It will download and do its thing then reboot and bam! You have google play and now Hulu and everything works for me. Don’t know how long the password is good for but as of now it worked for me.",5,
"John","Amazing.  Perfect if you have a baby in a crib like I do.","This thing is epic.  I recommend it to everyone.  I just had a baby and I purchased this, along with a mini tripod, and it has saved my life.  I project cartoons onto the ceiling and the baby loves it.  It is bright enough to be useful.  The picture quality is also passable.  This isn't a 2400lumen Epson home theater but for what it is, and the price, it is great.  The speaker is more than loud enough for a living room although I would go with the Epson if you were looking for a home theater.  This is perfect for entertaining guests outside or doing a powerpoint presentation.  Heck, this would go perfectly in a bedroom if you are not looking to run cables, make holes, and go through a hassle.  There is a 300 lumen version, I am not sure about how it works but, if this is something you are looking to have permanently in a bright room, I would look into that.",5,
"Mr. Truth","Awesome. Simple to use.","Great projector. Works right out of the box. It only took two minutes to set up. Simple to use on your phone if you download the app. You do not even need the included remote.  You can project this on almost any surface and have a great picture.  It puts out amazing sound for such a small device. Don’t be fooled by reviews saying the software is too complicated.  There is nothing to it- I installed Netflix, Hulu, etc within minutes. You login to them with your regular user info and you are up and running in no time.",5,
"Charles","Take note, adding a USB-C to HDMI for mobile devices, lighting cord iPhone will???","Some devices are forbidden to project copyrighted images to a device like the Capsule, but a USB- C, or lighting adapter for HDMI, works well. I bought it for camping trips, take note to buy a power bank with this device. I bought a Blackweb power brick to watch movies, and tv off my mobile phone all night camping. Great when your watching the morning news in a tent, eating breakfast, checking on the stock market, and the other campers just ehhh, CAN'T, heh.",5,
"dmr","Works as advertised.","I went through 3 projectors brands before I landed on this and everything worked. Easy setup! Everything works on my iPhone I can’t get it to work on my iPad for some reason. But portable & great! It’ll eat some juice even while plugged into a power source. And it does not charge quickly. And once it disconnects from the slideshow it just keeps doing it. Odd since it stays connected to WiFi. But I love this item. And I’m still happy w/ it.",5,
"Doc","Really frickin' cool","Pretty amazing little device...  used camping in the deep wilderness.  The little thing is bright enough to make a Lycra screen about 12 feet on the horizontal look as bright as a movie theatre when really dark outside.  Great sounds.  Played two movies before it quit.  You can re-charge off a battery pack as well which is a huge bonus.  Good enough that if i ever moved,  might sell my real TV and just use this.",5,
