,ID,subject,subject_clean,Len
0,1,'great projector',great projector,2
1,2,'little projector',little projector,2
2,2, 'punch',punch,1
3,2, 'pack',pack,1
4,3,'well thought',well thought,2
5,3,'quality',quality,1
6,3, 'high',high,1
7,4,'truly amaze piece',truly amaze piece,3
8,4, 'hardware',hardware,1
9,4,'blown away',blown away,2
10,5,'awesome little projector',awesome little projector,3
11,6,'amaze',amaze,1
12,6,'crib like',crib like,2
13,6, 'perfect',perfect,1
14,6, 'baby',baby,1
15,7,'awesome',awesome,1
16,7,'use',use,1
17,7, 'simple',simple,1
18,8,'take note',take note,2
19,8,'mobile device',mobile device,2
20,8, 'usb',usb,1
21,8, 'hdmi',hdmi,1
22,8, 'c',c,1
23,8, 'add',add,1
24,8,'light cord iphone',light cord iphone,3
26,9,'work',work,1
27,9, 'advertised',advertised,1
28,10,"'`` really frickin cool """"'",really frickin cool,3
29,11,'amaze little projector',amaze little projector,3
30,12,'say',say,1
31,12, 'everything',everything,1
33,12,'well',well,1
35,14,'best invention ever',best invention ever,3
37,15,'diggity',diggity,1
38,15, 'bomb',bomb,1
39,16,'best smart projector',best smart projector,3
40,17,'convenient',convenient,1
41,18,'great customer service',great customer service,3
42,18,'great projector',great projector,2
43,19,'best projector ever',best projector ever,3
44,20,'purchase',purchase,1
45,20, 'happy',happy,1
46,21,'small device .... pack',small device pack,3
47,21, 'big punch',big punch,2
48,22,'portable smart tv 📺',portable smart tv 📺,4
49,22, 'like',like,1
50,23,'advertised',advertised,1
51,24,'look',look,1
52,24, 'exactly',exactly,1
53,25,'without cable',without cable,2
54,25, 'theater',theater,1
55,26,'sound quality',sound quality,2
56,26, 'picture',picture,1
57,26, 'great',great,1
58,27,"'`` ill never buy another tv """"'",ill never buy another tv,5
59,28,'fantastic design',fantastic design,2
60,28,'watch movie',watch movie,2
61,28, 'lie',lie,1
62,28, 'ceiling',ceiling,1
63,28, 'bed',bed,1
64,29,'happy camper',happy camper,2
66,30,'great little projector',great little projector,3
67,30,'even well customer service',even well customer service,4
68,31,'amaze product',amaze product,2
69,32,'great package',great package,2
70,33,'not regret buying',not regret buying,3
71,34,'wow',wow,1
72,35,'awesome picture',awesome picture,2
73,35,'product',product,1
74,35,'quality',quality,1
75,36,'great lil tech device',great lil tech device,4
76,37,'great product',great product,2
77,37,'great customer service',great customer service,3
78,38,'good splurge',good splurge,2
79,39,'tiny',tiny,1
80,39, 'amaze',amaze,1
81,40,'need portability',need portability,2
